Employee_ID,First Name,Last Name,Gender,State,City,Education Level,Birthdate,Hiredate,Termdate,Department,Job Title,Salary,Performance Rating
00-59684848,Kendra,Galloway,0,New York,New York City,PhD,1/4/1963,2018-11-29,8/12/2019,Sales,Sales Manager,104162,4
00-96977837,Jesse,Garcia,1,New York,New York City,Bachelor,3/2/1963,2016-04-17,29/01/2023,Customer Service,Customer Service Representative,63873,3
00-81691040,Shawn,Flowers,1,Michigan,Warren,Bachelor,28/06/1959,2022-03-05,1/9/2022,IT,IT Support Specialist,66250,4
00-60929647,Mitchell,Clark,1,New York,New York City,Bachelor,14/09/1973,2017-04-14,16/06/2024,Customer Service,Support Specialist,61729,2
00-84752529,Jacqueline,Sutton,0,New York,New York City,Master,29/06/1979,2017-01-28,6/8/2022,Sales,Sales Manager,84046,3
00-17507864,Chelsea,Jackson,1,North Carolina,Raleigh,PhD,10/7/1994,2017-10-11,9/4/2018,Sales,Sales Specialist,69318,4
00-52339391,John,Ford,1,Pennsylvania,Philadelphia,Bachelor,15/07/2002,2019-04-15,12/10/2019,Sales,Sales Consultant,99002,2
00-86125617,Veronica,Bowman,1,New York,New York City,Bachelor,16/04/1990,2017-08-05,6/2/2018,Operations,Logistics Coordinator,69163,3
00-97971488,Jeffrey,Nguyen,1,New York,New York City,Bachelor,18/12/1992,2020-10-25,27/10/2021,Operations,Inventory Specialist,65830,3
00-29175900,Kimberly,Perez,1,New York,New York City,Bachelor,19/11/1970,2017-01-13,,Marketing,Content Creator,68419,3
00-85345555,Linda,Morales,1,New York,New York City,Bachelor,20/04/1993,2020-01-26,9/4/2021,Sales,Sales Specialist,71110,1
00-67503414,Jason,Hahn,1,Ohio,Cleveland,Bachelor,25/01/1978,2017-12-07,4/6/2018,IT,System Administrator,84205,4
00-39436733,Jennifer,Lewis,1,New York,New York City,Master,18/09/1982,2018-07-12,8/1/2019,Sales,Sales Specialist,67953,3
00-76238574,Randall,Rocha,1,New York,New York City,High School,25/09/1960,2016-06-27,10/5/2021,IT,IT Support Specialist,58445,1
00-24716857,Douglas,Taylor,0,New York,New York City,Bachelor,17/07/1992,2017-10-17,16/11/2021,Customer Service,Customer Service Representative,58697,2
00-66661351,Anna,Baker,1,New York,New York City,PhD,12/5/1970,2020-08-15,17/11/2022,Sales,Sales Specialist,77156,4
00-89978790,Ross,Silva,0,New York,New York City,Bachelor,29/11/2002,2024-05-20,16/11/2024,Sales,Sales Specialist,81038,4
00-84252722,Jeffrey,Bright,1,New York,New York City,Bachelor,21/05/1980,2017-07-17,13/01/2018,Finance,Accounts Payable Specialist,71339,2
00-25374874,Trevor,Campos,1,New York,New York City,Master,19/02/1983,2022-12-01,30/05/2023,Operations,Operations Analyst,81316,4
00-45812670,Daniel,Burton,0,New York,New York City,Bachelor,23/06/2001,2022-11-04,14/02/2024,IT,Software Developer,96947,4
00-49392920,Erin,Carlson,1,New York,New York City,Bachelor,20/03/1984,2019-05-30,29/04/2021,Operations,Logistics Coordinator,67437,4
00-45351479,Patrick,Ferrell,0,Michigan,Detroit,PhD,20/05/1969,2018-07-24,20/01/2019,Sales,Sales Consultant,116328,4
00-24282218,John,Tran,1,Virginia,Norfolk,Bachelor,15/01/1972,2017-01-05,25/01/2018,Operations,Logistics Coordinator,67630,2
00-95758349,Erin,Wilson,0,New York,New York City,Bachelor,15/08/1981,2020-12-09,11/12/2021,Operations,Logistics Coordinator,53898,3
00-60185867,Amanda,Adams,0,New York,New York City,Bachelor,10/11/2003,2022-09-06,5/3/2023,Sales,Sales Specialist,61534,3
00-81182864,Matthew,Carter,1,New York,New York City,High School,26/11/1979,2024-03-02,19/09/2024,Marketing,SEO Specialist,78184,1
00-75579548,Shawn,Mckay,0,New York,New York City,Bachelor,18/04/1980,2015-12-07,13/03/2023,Operations,Inventory Specialist,56559,3
00-51273847,Jennifer,Stanton,1,New York,New York City,Bachelor,9/12/1959,2017-10-23,2/12/2018,Customer Service,Support Specialist,68635,2
00-20570592,Guy,Gaines,1,New York,New York City,Bachelor,15/10/2002,2016-12-04,,Sales,Sales Representative,80367,2
00-19289546,Colleen,Skinner,0,New York,New York City,Bachelor,1/12/1981,2018-07-16,12/1/2019,Operations,Inventory Specialist,63169,3
00-26879290,Chelsea,Hernandez,0,Pennsylvania,Philadelphia,Master,19/10/1982,2016-10-23,5/6/2019,Sales,Sales Consultant,71142,3
00-32162965,Evan,Ashley,1,New York,New York City,High School,16/09/1983,2017-12-25,7/12/2018,Operations,Inventory Specialist,58830,1
00-38427073,Alyssa,Smith,0,Michigan,Grand Rapids,Bachelor,24/04/1970,2024-05-05,1/11/2024,Customer Service,Customer Service Representative,66218,2
00-36998038,Tracy,Rodriguez,0,New York,New York City,High School,7/11/1979,2022-05-21,17/11/2022,Marketing,SEO Specialist,88887,1
00-97225156,Natasha,Decker,1,New York,New York City,PhD,5/8/1959,2018-04-30,16/11/2023,Sales,Sales Consultant,72859,4
00-26240908,John,Allen,1,New York,New York City,Bachelor,15/01/1985,2017-08-09,5/2/2018,Operations,Logistics Coordinator,67630,4
00-12823170,Stacey,Miller,1,New York,New York City,Bachelor,21/06/1991,2020-07-07,14/12/2024,Operations,Inventory Specialist,61574,4
00-39557077,Lisa,Spence,1,New York,New York City,Master,25/08/1970,2015-07-26,18/12/2023,IT,Software Developer,103756,4
00-17901903,Katie,Anderson,1,New York,New York City,Bachelor,26/12/1980,2017-07-04,29/12/2021,Operations,Logistics Coordinator,63227,4
00-54349361,Stacey,Martin,1,New York,New York City,High School,27/03/1993,2016-07-23,,Operations,Inventory Specialist,63680,1
00-99788677,Monique,Henderson,0,New York,New York City,Bachelor,24/06/1967,2019-03-24,20/09/2019,Customer Service,Help Desk Technician,90880,2
00-86644106,Sarah,Campos,0,Pennsylvania,Philadelphia,High School,8/6/1983,2020-09-24,2/9/2022,Marketing,Content Creator,52954,4
00-73481353,James,Collins,0,New York,New York City,Bachelor,16/05/1977,2017-09-18,16/03/2018,Operations,Inventory Specialist,64475,3
00-23009833,Debra,Kim,0,Pennsylvania,Allentown,PhD,27/01/1980,2022-07-21,17/01/2023,Sales,Sales Specialist,93238,4
00-65177213,Shannon,Wright,0,Michigan,Grand Rapids,High School,4/12/2002,2019-01-25,12/12/2022,Operations,Inventory Specialist,58713,1
00-97705310,Matthew,Chapman,0,New York,New York City,Bachelor,19/09/1969,2024-03-30,26/09/2024,IT,Software Developer,91896,1
00-64038913,Brianna,Smith,1,New York,New York City,Bachelor,18/01/1974,2022-10-02,31/03/2023,Operations,Inventory Specialist,71608,4
00-35714784,Crystal,Perez,0,New York,New York City,Bachelor,7/7/1983,2017-12-18,16/06/2018,Finance,Financial Analyst,71404,2
00-66623995,Anthony,Rivera,1,New York,New York City,Bachelor,4/2/1992,2017-07-19,16/05/2021,Operations,Logistics Coordinator,59423,3
00-20117988,John,Caldwell,0,New York,New York City,Bachelor,19/10/1982,2019-03-25,21/09/2019,Operations,Operations Analyst,64183,1
00-16789850,Amber,Cummings,1,New York,New York City,Master,11/7/1986,2022-12-09,7/6/2023,Operations,Operations Analyst,76824,4
00-11980765,Ashley,Kennedy,0,New York,New York City,Bachelor,24/03/2003,2018-10-31,29/04/2019,Finance,Accountant,54093,2
00-64547971,Thomas,Russell,1,New York,New York City,Bachelor,4/1/1964,2019-02-06,5/3/2021,Finance,Accountant,95124,1
00-63826716,Collin,Jordan,0,New York,New York City,Master,13/09/1965,2023-06-14,11/12/2023,Sales,Sales Specialist,68345,4
00-10289289,Robert,Shields,0,New York,New York City,Bachelor,29/07/1978,2024-01-22,20/07/2024,Customer Service,Help Desk Technician,61403,3
00-71070189,Emily,Joyce,1,New York,New York City,Bachelor,29/08/1988,2017-02-08,27/08/2023,Operations,Inventory Specialist,60320,3
00-84593961,Bruce,Chandler,0,New York,New York City,High School,29/01/1966,2022-11-07,6/5/2023,Operations,Inventory Specialist,55060,4
00-35487660,Michelle,Wright,1,New York,New York City,Master,22/07/1963,2017-03-15,6/5/2018,Operations,Operations Manager,82834,4
00-82772208,Amanda,Taylor,0,New York,New York City,PhD,10/7/1988,2016-03-12,17/11/2016,Finance,Financial Analyst,76564,4
00-16729990,Joshua,Wright,1,New York,New York City,Bachelor,7/10/1991,2020-12-24,30/07/2024,Finance,Accountant,63056,3
00-81286543,Charles,Morton,1,New York,New York City,Bachelor,12/9/1984,2017-11-29,28/05/2018,Finance,Accountant,78616,2
00-34941004,Andrea,Williams,1,New York,New York City,High School,29/04/1960,2016-07-28,,Operations,Inventory Specialist,57716,1
00-41568532,Mary,Novak,0,New York,New York City,Bachelor,12/6/1981,2019-12-26,23/06/2020,Operations,Logistics Coordinator,61198,2
00-87701200,Karen,Young,1,New York,New York City,Bachelor,23/06/2001,2020-06-06,3/12/2020,IT,IT Support Specialist,58331,4
00-66267415,Todd,Lewis,0,Ohio,Cincinnati,Bachelor,24/02/1966,2022-06-05,6/11/2024,Operations,Logistics Coordinator,62398,3
00-52462441,Rachel,Martin,1,New York,New York City,Bachelor,25/08/1984,2024-01-01,29/06/2024,Sales,Sales Consultant,94930,4
00-52169044,Tricia,Baker,0,New York,New York City,Bachelor,26/06/1998,2017-11-01,6/3/2021,Customer Service,Customer Service Representative,59179,3
00-96637649,Kristen,Mitchell,1,North Carolina,Greensboro,Bachelor,16/05/1976,2017-09-28,6/2/2024,Operations,Logistics Coordinator,74555,3
00-19736572,Susan,Cowan,1,New York,New York City,PhD,2/10/1989,2015-08-04,,Sales,Sales Manager,74371,4
00-23419256,Dorothy,Tucker,0,New York,New York City,Bachelor,17/08/1990,2016-03-14,10/9/2016,Marketing,SEO Specialist,81253,4
00-45594597,Kenneth,Novak,0,New York,New York City,High School,30/09/1988,2017-08-13,10/3/2020,Customer Service,Customer Service Representative,56922,1
00-42787299,Jill,Brown,0,New York,New York City,Bachelor,13/06/1982,2018-05-02,12/3/2020,Marketing,Content Creator,65108,2
00-82909480,Brian,Silva,0,New York,New York City,Bachelor,31/10/1975,2022-07-15,11/1/2023,Operations,Logistics Coordinator,61958,3
00-97775215,Samantha,Schmidt,0,New York,New York City,Bachelor,11/1/1999,2020-01-23,30/07/2022,Customer Service,Support Specialist,55038,3
00-84437458,Susan,Miller,0,New York,New York City,Master,6/2/2002,2017-03-14,20/04/2023,HR,HR Coordinator,63666,4
00-28024248,Casey,Jones,0,New York,New York City,High School,9/11/1979,2017-12-01,11/2/2021,Customer Service,Help Desk Technician,58264,4
00-84252420,Joe,Wilson,1,New York,New York City,Bachelor,6/2/2003,2017-12-12,27/09/2022,Sales,Sales Representative,65128,2
00-38270233,Ashley,Riley,1,New York,New York City,Master,5/8/1967,2022-01-16,15/07/2022,Sales,Sales Consultant,69316,4
00-95125977,Christine,Barnes,1,New York,New York City,High School,22/10/1992,2017-08-15,11/2/2018,Operations,Inventory Specialist,56431,1
00-43704923,Annette,Stewart,1,New York,New York City,Bachelor,19/06/1997,2023-04-12,9/10/2023,Sales,Sales Representative,79043,3
00-95132217,James,Moran,0,New York,New York City,Bachelor,29/10/1988,2019-04-03,3/9/2024,Marketing,Marketing Coordinator,59137,3
00-10475894,Joseph,Anderson,1,New York,New York City,Bachelor,23/12/1982,2018-09-08,16/07/2019,IT,Software Developer,89897,3
00-45159040,Kevin,Stewart,0,New York,New York City,Bachelor,31/08/1984,2017-10-19,2/2/2021,IT,Software Developer,80501,3
00-67403166,Shari,Smith,1,Michigan,Detroit,Master,5/4/1984,2020-08-29,25/02/2021,Operations,Operations Analyst,83772,3
00-30005727,Yolanda,Ferrell,1,New York,New York City,Master,5/10/1982,2020-01-29,27/07/2020,Operations,Operations Analyst,55106,4
00-84158663,Amanda,Wagner,1,New York,New York City,Bachelor,2/10/1987,2017-02-21,,IT,Software Developer,88492,3
00-51373735,Sarah,Ibarra,1,New York,New York City,High School,28/07/1976,2018-12-08,25/04/2021,Customer Service,Help Desk Technician,82441,1
00-38195995,John,Mitchell,1,Michigan,Warren,Bachelor,27/09/1962,2022-06-20,17/12/2022,Finance,Accountant,85555,3
00-57469942,Martha,Warner,0,New York,New York City,Bachelor,1/8/1989,2017-08-26,22/02/2018,Sales,Sales Consultant,64372,2
00-30743797,Tonya,Roman,0,Michigan,Grand Rapids,Bachelor,15/03/1971,2018-07-24,20/01/2019,Customer Service,Customer Service Representative,63278,3
00-31810617,Alan,Montoya,1,Virginia,Virginia Beach,Bachelor,3/2/1998,2024-04-26,23/10/2024,Marketing,Content Creator,65358,1
00-13326769,Sarah,Garcia,1,Michigan,Grand Rapids,Bachelor,3/12/1983,2017-12-08,6/6/2018,IT,System Administrator,77267,3
00-65259205,Dennis,Wilson,0,New York,New York City,Bachelor,8/3/2002,2023-02-11,10/8/2023,Sales,Sales Representative,51865,3
00-43308443,Julia,Moore,1,New York,New York City,Master,23/09/1970,2017-04-20,19/12/2024,IT,System Administrator,92780,4
00-61343880,Cassandra,Robbins,0,Pennsylvania,Allentown,Bachelor,5/5/1992,2023-03-21,17/09/2023,Customer Service,Customer Service Representative,52588,3
00-36786211,Grace,Farrell,0,Michigan,Detroit,Bachelor,23/06/1972,2023-07-16,12/1/2024,Operations,Inventory Specialist,64186,3
00-50962024,Tracy,Whitehead,1,New York,New York City,High School,26/05/1978,2017-11-25,23/05/2018,Operations,Inventory Specialist,61124,1
00-13176186,Brent,Walters,0,New York,New York City,High School,17/07/1982,2022-11-19,18/05/2023,HR,Recruiter,65797,1
00-47393469,Joshua,Smith,0,Illinois,Aurora,Master,25/01/2001,2023-10-27,24/04/2024,Sales,Sales Manager,114050,3
00-96098221,David,Whitney,0,New York,New York City,High School,13/10/1975,2020-03-03,30/08/2020,Customer Service,Help Desk Technician,64313,4
00-81969657,Joyce,Arnold,1,Michigan,Grand Rapids,Bachelor,11/9/1989,2018-06-16,7/4/2022,Customer Service,Support Specialist,63557,2
00-45059710,Ann,Rodriguez,1,Michigan,Detroit,High School,29/11/1985,2017-12-09,12/6/2019,Operations,Inventory Specialist,59128,1
00-24549543,Hannah,Hernandez,0,New York,New York City,High School,28/02/1989,2020-01-14,12/7/2020,Customer Service,Support Specialist,54770,1
00-52101056,Mary,Aguilar,1,New York,New York City,Bachelor,4/4/2001,2019-02-27,26/08/2019,Customer Service,Support Specialist,64438,2
00-61700055,Russell,Williams,0,New York,New York City,High School,19/06/1970,2023-05-22,18/11/2023,HR,Recruiter,58119,1
00-15957459,Rachel,Flynn,0,North Carolina,Raleigh,High School,21/05/1976,2022-12-01,30/05/2023,Customer Service,Help Desk Technician,82922,1
00-82269803,Bill,Howard,0,New York,New York City,Bachelor,23/02/1972,2022-09-22,21/03/2023,Marketing,Marketing Coordinator,74811,2
00-36445607,John,Garcia,1,North Carolina,Greensboro,PhD,22/11/1982,2018-10-30,25/08/2021,Finance,Financial Analyst,93475,4
00-54318698,Anita,Baxter,1,Ohio,Cleveland,High School,6/1/2002,2021-08-30,26/02/2022,Customer Service,Customer Service Representative,59676,1
00-26726926,Kara,Frost,1,New York,New York City,Bachelor,21/12/1967,2022-04-02,29/09/2022,Sales,Sales Representative,77283,1
00-51511484,Michelle,Cherry,1,New York,New York City,Bachelor,11/1/1980,2022-11-11,10/5/2023,Marketing,Content Creator,62224,2
00-49682169,Gregory,Gutierrez,1,New York,New York City,Bachelor,22/02/1997,2020-03-10,6/9/2020,Operations,Logistics Coordinator,68683,1
00-99245317,Jill,Cook,0,New York,New York City,High School,18/01/1967,2018-12-27,25/06/2019,Customer Service,Customer Service Representative,63830,1
00-33357554,Robert,Santiago,1,New York,New York City,Master,9/9/1998,2021-10-13,11/4/2022,Sales,Sales Specialist,75850,4
00-83542887,Lisa,Adams,1,New York,New York City,High School,13/12/1995,2017-11-02,30/04/2018,Customer Service,Help Desk Technician,82965,4
00-38210242,Jacqueline,Reyes,0,New York,New York City,Bachelor,15/12/1973,2019-01-16,15/07/2019,Operations,Logistics Coordinator,54011,3
00-97873101,Michele,Walker,1,New York,New York City,Bachelor,15/05/1979,2018-11-14,4/2/2022,Sales,Sales Representative,80131,3
00-38682516,Samantha,Bailey,0,New York,New York City,Bachelor,12/5/2000,2020-11-14,13/05/2021,Operations,Inventory Specialist,55778,3
00-98429450,Laura,Perez,1,New York,New York City,PhD,11/10/1965,2016-01-10,20/10/2021,Sales,Sales Consultant,88444,4
00-94951883,Donna,Ross,0,New York,New York City,Bachelor,6/11/1969,2021-04-19,27/04/2022,Sales,Sales Representative,75303,3
00-41523529,Michelle,Rasmussen,0,North Carolina,Greensboro,Master,23/10/1999,2022-04-19,16/10/2022,IT,Software Developer,98297,4
00-36726767,Michael,Hicks,1,Illinois,Chicago,Bachelor,14/01/1999,2017-09-21,1/4/2024,Sales,Sales Representative,65506,3
00-73771720,Tina,Herrera,1,New York,New York City,PhD,11/9/1991,2021-01-11,10/7/2021,Finance,Financial Analyst,86731,4
00-65625330,Darrell,Waller,1,New York,New York City,Bachelor,7/12/1973,2023-03-11,7/9/2023,Sales,Sales Representative,78643,2
00-61536717,Beverly,Terrell,0,Michigan,Warren,Bachelor,1/1/1976,2020-01-15,13/07/2020,Customer Service,Customer Service Representative,64159,3
00-98054615,Daniel,Hamilton,1,New York,New York City,Bachelor,12/1/1982,2022-10-10,8/4/2023,Sales,Sales Representative,66358,3
00-67062156,Kristin,Graham,0,Michigan,Warren,Bachelor,18/08/1982,2017-07-18,22/11/2021,Operations,Inventory Specialist,57185,3
00-72350830,Darrell,Lam,0,New York,New York City,Bachelor,16/06/1993,2016-03-14,25/07/2018,IT,IT Support Specialist,57924,4
00-26288475,Jonathan,Fletcher,0,New York,New York City,Bachelor,5/6/1971,2019-01-01,20/08/2024,Operations,Inventory Specialist,57730,2
00-81287314,April,Drake,0,New York,New York City,High School,15/10/1975,2018-09-23,22/03/2019,Operations,Inventory Specialist,56753,1
00-69401199,Jennifer,Harmon,1,New York,New York City,Bachelor,5/7/1975,2021-09-18,17/03/2022,Sales,Sales Representative,62015,3
00-67276174,James,Reynolds,1,New York,New York City,Bachelor,9/1/1997,2017-09-15,13/03/2018,Operations,Operations Analyst,82241,1
00-31361812,Samantha,Hanson,0,New York,New York City,PhD,24/01/1983,2022-09-15,14/03/2023,Sales,Sales Consultant,87980,4
00-44788100,Melanie,Cortez,0,New York,New York City,Bachelor,21/02/1987,2022-04-27,24/10/2022,Sales,Sales Representative,68240,3
00-79967676,William,Estrada,1,New York,New York City,Bachelor,4/3/1985,2019-05-07,24/08/2020,Operations,Operations Manager,109148,3
00-69038700,Richard,Phillips,0,New York,New York City,Bachelor,4/10/2001,2016-02-19,,Operations,Operations Analyst,77304,2
00-46468984,James,Ortega,1,New York,New York City,Bachelor,9/11/1980,2018-05-28,13/05/2024,Sales,Sales Specialist,71634,2
00-28572252,Erica,Orr,1,New York,New York City,Bachelor,16/11/1988,2017-08-28,6/11/2022,IT,IT Support Specialist,73488,2
00-30509175,Ashley,Sullivan,1,New York,New York City,High School,7/10/1982,2022-11-20,19/05/2023,Operations,Inventory Specialist,61678,1
00-64707061,Aaron,Mitchell,0,New York,New York City,Bachelor,23/05/1992,2018-06-16,13/12/2018,IT,Software Developer,94594,2
00-18357162,Kristi,Lawson,1,Michigan,Detroit,Bachelor,6/2/1968,2017-05-06,,Operations,Inventory Specialist,76197,2
00-88393811,Steven,Ramos,0,New York,New York City,Bachelor,16/05/1995,2024-03-23,19/09/2024,Operations,Logistics Coordinator,60859,2
00-87267850,William,Leon,0,New York,New York City,High School,28/10/1997,2018-11-06,5/5/2019,Marketing,Content Creator,52939,1
00-50079111,Jill,Hopkins,1,New York,New York City,PhD,13/08/1993,2022-04-21,9/6/2024,Sales,Sales Specialist,62230,4
00-83300637,Zachary,Schultz,1,New York,New York City,Bachelor,13/10/1998,2023-05-11,7/11/2023,IT,IT Support Specialist,68297,3
00-39450273,Clarence,Crane,1,New York,New York City,High School,13/10/1999,2017-04-02,,Operations,Inventory Specialist,62190,1
00-62191530,Emily,Walker,0,North Carolina,Charlotte,Master,22/03/1960,2018-03-19,15/09/2018,IT,Software Developer,96606,3
00-64266464,Dylan,Williams,1,New York,New York City,High School,7/12/1985,2022-07-04,31/12/2022,Operations,Inventory Specialist,55854,1
00-93517915,Cheryl,Mack,0,Ohio,Cleveland,Bachelor,17/09/1996,2020-06-25,22/12/2020,Customer Service,Customer Service Representative,54580,2
00-85751409,Robert,Soto,0,New York,New York City,Bachelor,4/5/1998,2022-03-17,13/09/2022,Operations,Inventory Specialist,58131,2
00-67527432,Jennifer,Cruz,0,Ohio,Cincinnati,Bachelor,20/07/1972,2017-06-05,17/12/2021,Operations,Inventory Specialist,64260,3
00-16749089,John,Douglas,0,Michigan,Grand Rapids,High School,19/04/1996,2017-01-03,24/09/2021,Customer Service,Help Desk Technician,63590,1
00-71028710,Patricia,Dalton,0,New York,New York City,High School,4/8/1971,2018-12-10,23/05/2021,Customer Service,Customer Service Representative,63956,4
00-66581473,Daniel,Coleman,1,Michigan,Warren,Bachelor,15/11/1983,2017-03-10,7/5/2024,Marketing,Content Creator,67857,3
00-12601580,Linda,Dominguez,0,New York,New York City,Bachelor,27/01/1988,2022-06-30,27/12/2022,Customer Service,Customer Service Representative,53458,3
00-40094589,Brent,Wright,1,New York,New York City,Master,2/3/1994,2022-11-26,25/05/2023,IT,System Administrator,68344,4
00-14164775,David,Anderson,0,New York,New York City,Bachelor,27/06/1985,2024-06-29,26/12/2024,Customer Service,Customer Service Manager,67027,1
00-12735359,Elizabeth,Travis,0,New York,New York City,Bachelor,17/11/2002,2021-08-20,16/02/2022,Sales,Sales Representative,66258,3
00-73560289,Logan,Fischer,1,New York,New York City,Bachelor,24/07/1971,2022-06-21,18/12/2022,Sales,Sales Representative,64327,2
00-72415804,Cheyenne,Ball,1,Michigan,Grand Rapids,Bachelor,23/10/1981,2022-07-16,12/1/2023,IT,Software Developer,91360,3
00-91321540,Ronald,Meadows,1,New York,New York City,Bachelor,28/10/1973,2021-06-23,20/12/2021,Marketing,SEO Specialist,73844,2
00-25372341,Phyllis,Manning,1,New York,New York City,Bachelor,15/07/1997,2023-07-04,31/12/2023,Operations,Logistics Coordinator,65413,2
00-24508768,Shannon,Walton,1,New York,New York City,Bachelor,15/03/1972,2020-11-22,21/05/2021,IT,Software Developer,95493,3
00-60372847,Dana,Cannon,1,Michigan,Grand Rapids,Bachelor,2/2/1995,2019-07-22,8/6/2022,Sales,Sales Representative,82548,2
00-20200074,Todd,Allen,0,New York,New York City,Bachelor,12/10/1972,2020-06-19,16/12/2020,Finance,Financial Analyst,95235,3
00-23676961,Chris,Mitchell,0,New York,New York City,Bachelor,29/10/1962,2022-04-16,13/10/2022,Marketing,SEO Specialist,81450,3
00-90585882,Matthew,Orozco,0,New York,New York City,Bachelor,14/10/2001,2023-02-01,31/07/2023,Marketing,Content Creator,58407,4
00-15512205,Devon,Hall,1,New York,New York City,Bachelor,4/6/1969,2018-09-27,7/8/2021,Sales,Sales Representative,81959,2
00-59737181,Eric,Lewis,1,New York,New York City,PhD,2/9/1968,2016-06-10,12/5/2021,Sales,Sales Specialist,74105,4
00-11698142,Rick,Daniels,1,New York,New York City,Bachelor,20/10/1993,2023-06-11,8/12/2023,Customer Service,Help Desk Technician,78079,2
00-68186525,Bryan,Wall,1,Illinois,Naperville,High School,29/04/1975,2024-05-31,27/11/2024,Customer Service,Customer Service Representative,60685,4
00-71705170,Rebecca,Silva,1,New York,New York City,Master,28/05/1970,2022-09-28,27/03/2023,IT,System Administrator,91983,3
00-80027662,Andrew,Gilmore,1,New York,New York City,Bachelor,26/11/1983,2018-08-11,7/2/2019,Operations,Inventory Specialist,68235,3
00-82232344,Omar,Smith,0,New York,New York City,Master,2/6/1972,2023-05-17,13/11/2023,Sales,Sales Consultant,96575,4
00-89520597,Kenneth,Price,0,North Carolina,Charlotte,High School,6/2/1981,2017-12-13,14/06/2019,Customer Service,Help Desk Technician,80107,1
00-21631697,Stephanie,Barnes,1,Illinois,Naperville,Master,10/6/1987,2017-10-18,16/04/2018,Sales,Sales Manager,111822,4
00-72372114,Jessica,Marsh,0,New York,New York City,Bachelor,26/06/1973,2020-12-14,12/6/2021,Sales,Sales Consultant,74894,3
00-55150390,Jeffrey,Robinson,1,New York,New York City,Bachelor,16/09/1983,2015-06-19,3/9/2018,Customer Service,Customer Service Representative,68170,2
00-75437844,Todd,Price,1,Michigan,Detroit,High School,23/04/1986,2017-09-17,16/03/2018,IT,IT Support Specialist,58120,1
00-47535126,Erin,Powell,1,New York,New York City,Master,2/2/1992,2023-03-06,2/9/2023,Sales,Sales Consultant,69351,4
00-84597009,Mary,Calhoun,0,New York,New York City,Bachelor,16/05/1980,2015-08-30,11/6/2020,Operations,Inventory Specialist,63090,1
00-42394260,Amanda,Meadows,0,North Carolina,Charlotte,Bachelor,8/9/1969,2022-08-18,14/02/2023,Finance,Accountant,66590,3
00-42255732,Anne,Johnson,1,New York,New York City,Bachelor,7/7/1960,2022-09-07,6/3/2023,IT,Software Developer,94979,3
00-75876924,Roy,Camacho,0,New York,New York City,Bachelor,15/04/1966,2019-03-12,8/9/2019,Customer Service,Support Specialist,68030,3
00-49491631,Brent,Gray,0,Michigan,Detroit,Bachelor,19/08/1989,2017-03-24,12/12/2023,Marketing,Content Creator,55734,2
