Employee_ID,Full_Name,Gender,State,City,Education_Level,Birthdate,Age,Hiredate,Termdate,Years_of_Service,Employee_Status,Department,Job_Title,Jop_Level,Salary,Performance_Rating
00-84093639,Lindsay Blair,Male,New York,New York City,Bachelor,5/26/1967,57,7/28/2017,1/24/2018,0,Terminated,Operations,Operations Analyst,Senior,75509,Good
00-58537831,David Nielsen,Female,New York,New York City,High School,7/26/2001,23,1/31/2020,7/29/2020,0,Terminated,Customer Service,Help Desk Technician,Junior Level,67011,Need Improvement
00-16150444,Andrea Calderon,Male,Michigan,Grand Rapids,Bachelor,5/22/1987,37,8/29/2022,2/25/2023,0,Terminated,IT,IT Support Specialist,Mid-Level,60136,Good
00-41244663,Nicole Ward,Male,New York,New York City,Bachelor,12/13/1963,60,3/16/2023,9/12/2023,0,Terminated,Operations,Logistics Coordinator,Mid-Level,67552,Satisfactory
00-70855700,Janet Williams,Male,Michigan,Grand Rapids,Bachelor,12/26/2002,21,3/30/2021,9/26/2021,0,Terminated,Operations,Inventory Specialist,Mid-Level,59934,Good
00-59684848,Kendra Galloway,Female,New York,New York City,PhD,4/1/1963,61,11/29/2018,12/8/2019,1,Terminated,Sales,Sales Manager,Manager,104162,Excellent
00-96977837,Jesse Garcia,Male,New York,New York City,Bachelor,2/3/1963,61,4/17/2016,1/29/2023,6,Terminated,Customer Service,Customer Service Representative,Junior Level,63873,Good
00-81691040,Shawn Flowers,Male,Michigan,Warren,Bachelor,6/28/1959,65,3/5/2022,9/1/2022,0,Terminated,IT,IT Support Specialist,Mid-Level,66250,Excellent
00-60929647,Mitchell Clark,Male,New York,New York City,Bachelor,9/14/1973,51,4/14/2017,6/16/2024,7,Terminated,Customer Service,Support Specialist,Junior Level,61729,Satisfactory
00-84752529,Jacqueline Sutton,Female,New York,New York City,Master,6/29/1979,45,1/28/2017,8/6/2022,5,Terminated,Sales,Sales Manager,Manager,84046,Good
00-17507864,Chelsea Jackson,Male,North Carolina,Raleigh,PhD,7/10/1994,30,10/11/2017,4/9/2018,0,Terminated,Sales,Sales Specialist,Mid-Level,69318,Excellent
00-52339391,John Ford,Male,Pennsylvania,Philadelphia,Bachelor,7/15/2002,22,4/15/2019,10/12/2019,0,Terminated,Sales,Sales Consultant,Mid-Level,99002,Satisfactory
00-86125617,Veronica Bowman,Male,New York,New York City,Bachelor,4/16/1990,34,8/5/2017,2/6/2018,0,Terminated,Operations,Logistics Coordinator,Mid-Level,69163,Good
00-97971488,Jeffrey Nguyen,Male,New York,New York City,Bachelor,12/18/1992,31,10/25/2020,10/27/2021,1,Terminated,Operations,Inventory Specialist,Mid-Level,65830,Good
00-29175900,Kimberly Perez,Male,New York,New York City,Bachelor,11/19/1970,53,1/13/2017,Still Employee,7,Active,Marketing,Content Creator,Mid-Level,68419,Good
00-85345555,Linda Morales,Male,New York,New York City,Bachelor,4/20/1993,31,1/26/2020,4/9/2021,1,Terminated,Sales,Sales Specialist,Mid-Level,71110,Need Improvement
00-67503414,Jason Hahn,Male,Ohio,Cleveland,Bachelor,1/25/1978,46,12/7/2017,6/4/2018,0,Terminated,IT,System Administrator,Mid-Level,84205,Excellent
00-39436733,Jennifer Lewis,Male,New York,New York City,Master,9/18/1982,42,7/12/2018,1/8/2019,0,Terminated,Sales,Sales Specialist,Mid-Level,67953,Good
00-76238574,Randall Rocha,Male,New York,New York City,High School,9/25/1960,64,6/27/2016,5/10/2021,4,Terminated,IT,IT Support Specialist,Mid-Level,58445,Need Improvement
00-24716857,Douglas Taylor,Female,New York,New York City,Bachelor,7/17/1992,32,10/17/2017,11/16/2021,4,Terminated,Customer Service,Customer Service Representative,Junior Level,58697,Satisfactory
00-66661351,Anna Baker,Male,New York,New York City,PhD,5/12/1970,54,8/15/2020,11/17/2022,2,Terminated,Sales,Sales Specialist,Mid-Level,77156,Excellent
00-89978790,Ross Silva,Female,New York,New York City,Bachelor,11/29/2002,21,5/20/2024,11/16/2024,0,Terminated,Sales,Sales Specialist,Mid-Level,81038,Excellent
00-84252722,Jeffrey Bright,Male,New York,New York City,Bachelor,5/21/1980,44,7/17/2017,1/13/2018,0,Terminated,Finance,Accounts Payable Specialist,Mid-Level,71339,Satisfactory
00-25374874,Trevor Campos,Male,New York,New York City,Master,2/19/1983,41,12/1/2022,5/30/2023,0,Terminated,Operations,Operations Analyst,Senior,81316,Excellent
00-45812670,Daniel Burton,Female,New York,New York City,Bachelor,6/23/2001,23,11/4/2022,2/14/2024,1,Terminated,IT,Software Developer,Senior,96947,Excellent
00-49392920,Erin Carlson,Male,New York,New York City,Bachelor,3/20/1984,40,5/30/2019,4/29/2021,1,Terminated,Operations,Logistics Coordinator,Mid-Level,67437,Excellent
00-45351479,Patrick Ferrell,Female,Michigan,Detroit,PhD,5/20/1969,55,7/24/2018,1/20/2019,0,Terminated,Sales,Sales Consultant,Mid-Level,116328,Excellent
00-24282218,John Tran,Male,Virginia,Norfolk,Bachelor,1/15/1972,52,1/5/2017,1/25/2018,1,Terminated,Operations,Logistics Coordinator,Mid-Level,67630,Satisfactory
00-95758349,Erin Wilson,Female,New York,New York City,Bachelor,8/15/1981,43,12/9/2020,12/11/2021,1,Terminated,Operations,Logistics Coordinator,Mid-Level,53898,Good
00-60185867,Amanda Adams,Female,New York,New York City,Bachelor,11/10/2003,20,9/6/2022,3/5/2023,0,Terminated,Sales,Sales Specialist,Mid-Level,61534,Good
00-81182864,Matthew Carter,Male,New York,New York City,High School,11/26/1979,44,3/2/2024,9/19/2024,0,Terminated,Marketing,SEO Specialist,Senior,78184,Need Improvement
00-75579548,Shawn Mckay,Female,New York,New York City,Bachelor,4/18/1980,44,12/7/2015,3/13/2023,7,Terminated,Operations,Inventory Specialist,Mid-Level,56559,Good
00-51273847,Jennifer Stanton,Male,New York,New York City,Bachelor,12/9/1959,64,10/23/2017,12/2/2018,1,Terminated,Customer Service,Support Specialist,Junior Level,68635,Satisfactory
00-20570592,Guy Gaines,Male,New York,New York City,Bachelor,10/15/2002,21,12/4/2016,Still Employee,7,Active,Sales,Sales Representative,Junior Level,80367,Satisfactory
00-19289546,Colleen Skinner,Female,New York,New York City,Bachelor,12/1/1981,42,7/16/2018,1/12/2019,0,Terminated,Operations,Inventory Specialist,Mid-Level,63169,Good
00-26879290,Chelsea Hernandez,Female,Pennsylvania,Philadelphia,Master,10/19/1982,41,10/23/2016,6/5/2019,2,Terminated,Sales,Sales Consultant,Mid-Level,71142,Good
00-32162965,Evan Ashley,Male,New York,New York City,High School,9/16/1983,41,12/25/2017,12/7/2018,0,Terminated,Operations,Inventory Specialist,Mid-Level,58830,Need Improvement
00-38427073,Alyssa Smith,Female,Michigan,Grand Rapids,Bachelor,4/24/1970,54,5/5/2024,11/1/2024,0,Terminated,Customer Service,Customer Service Representative,Junior Level,66218,Satisfactory
00-36998038,Tracy Rodriguez,Female,New York,New York City,High School,11/7/1979,44,5/21/2022,11/17/2022,0,Terminated,Marketing,SEO Specialist,Senior,88887,Need Improvement
00-97225156,Natasha Decker,Male,New York,New York City,PhD,8/5/1959,65,4/30/2018,11/16/2023,5,Terminated,Sales,Sales Consultant,Mid-Level,72859,Excellent
00-26240908,John Allen,Male,New York,New York City,Bachelor,1/15/1985,39,8/9/2017,2/5/2018,0,Terminated,Operations,Logistics Coordinator,Mid-Level,67630,Excellent
00-12823170,Stacey Miller,Male,New York,New York City,Bachelor,6/21/1991,33,7/7/2020,12/14/2024,4,Terminated,Operations,Inventory Specialist,Mid-Level,61574,Excellent
00-39557077,Lisa Spence,Male,New York,New York City,Master,8/25/1970,54,7/26/2015,12/18/2023,8,Terminated,IT,Software Developer,Senior,103756,Excellent
00-17901903,Katie Anderson,Male,New York,New York City,Bachelor,12/26/1980,43,7/4/2017,12/29/2021,4,Terminated,Operations,Logistics Coordinator,Mid-Level,63227,Excellent
00-54349361,Stacey Martin,Male,New York,New York City,High School,3/27/1993,31,7/23/2016,Still Employee,8,Active,Operations,Inventory Specialist,Mid-Level,63680,Need Improvement
00-99788677,Monique Henderson,Female,New York,New York City,Bachelor,6/24/1967,57,3/24/2019,9/20/2019,0,Terminated,Customer Service,Help Desk Technician,Junior Level,90880,Satisfactory
00-86644106,Sarah Campos,Female,Pennsylvania,Philadelphia,High School,6/8/1983,41,9/24/2020,9/2/2022,1,Terminated,Marketing,Content Creator,Mid-Level,52954,Excellent
00-73481353,James Collins,Female,New York,New York City,Bachelor,5/16/1977,47,9/18/2017,3/16/2018,0,Terminated,Operations,Inventory Specialist,Mid-Level,64475,Good
00-23009833,Debra Kim,Female,Pennsylvania,Allentown,PhD,1/27/1980,44,7/21/2022,1/17/2023,0,Terminated,Sales,Sales Specialist,Mid-Level,93238,Excellent
00-65177213,Shannon Wright,Female,Michigan,Grand Rapids,High School,12/4/2002,21,1/25/2019,12/12/2022,3,Terminated,Operations,Inventory Specialist,Mid-Level,58713,Need Improvement
00-97705310,Matthew Chapman,Female,New York,New York City,Bachelor,9/19/1969,55,3/30/2024,9/26/2024,0,Terminated,IT,Software Developer,Senior,91896,Need Improvement
00-64038913,Brianna Smith,Male,New York,New York City,Bachelor,1/18/1974,50,10/2/2022,3/31/2023,0,Terminated,Operations,Inventory Specialist,Mid-Level,71608,Excellent
00-35714784,Crystal Perez,Female,New York,New York City,Bachelor,7/7/1983,41,12/18/2017,6/16/2018,0,Terminated,Finance,Financial Analyst,Senior,71404,Satisfactory
00-66623995,Anthony Rivera,Male,New York,New York City,Bachelor,2/4/1992,32,7/19/2017,5/16/2021,3,Terminated,Operations,Logistics Coordinator,Mid-Level,59423,Good
00-20117988,John Caldwell,Female,New York,New York City,Bachelor,10/19/1982,41,3/25/2019,9/21/2019,0,Terminated,Operations,Operations Analyst,Senior,64183,Need Improvement
00-16789850,Amber Cummings,Male,New York,New York City,Master,7/11/1986,38,12/9/2022,6/7/2023,0,Terminated,Operations,Operations Analyst,Senior,76824,Excellent
00-11980765,Ashley Kennedy,Female,New York,New York City,Bachelor,3/24/2003,21,10/31/2018,4/29/2019,0,Terminated,Finance,Accountant,Mid-Level,54093,Satisfactory
00-64547971,Thomas Russell,Male,New York,New York City,Bachelor,1/4/1964,60,2/6/2019,3/5/2021,2,Terminated,Finance,Accountant,Mid-Level,95124,Need Improvement
00-63826716,Collin Jordan,Female,New York,New York City,Master,9/13/1965,59,6/14/2023,12/11/2023,0,Terminated,Sales,Sales Specialist,Mid-Level,68345,Excellent
00-10289289,Robert Shields,Female,New York,New York City,Bachelor,7/29/1978,46,1/22/2024,7/20/2024,0,Terminated,Customer Service,Help Desk Technician,Junior Level,61403,Good
00-71070189,Emily Joyce,Male,New York,New York City,Bachelor,8/29/1988,36,2/8/2017,8/27/2023,6,Terminated,Operations,Inventory Specialist,Mid-Level,60320,Good
00-84593961,Bruce Chandler,Female,New York,New York City,High School,1/29/1966,58,11/7/2022,5/6/2023,0,Terminated,Operations,Inventory Specialist,Mid-Level,55060,Excellent
00-35487660,Michelle Wright,Male,New York,New York City,Master,7/22/1963,61,3/15/2017,5/6/2018,1,Terminated,Operations,Operations Manager,Manager,82834,Excellent
00-82772208,Amanda Taylor,Female,New York,New York City,PhD,7/10/1988,36,3/12/2016,11/17/2016,0,Terminated,Finance,Financial Analyst,Senior,76564,Excellent
00-16729990,Joshua Wright,Male,New York,New York City,Bachelor,10/7/1991,33,12/24/2020,7/30/2024,3,Terminated,Finance,Accountant,Mid-Level,63056,Good
00-81286543,Charles Morton,Male,New York,New York City,Bachelor,9/12/1984,40,11/29/2017,5/28/2018,0,Terminated,Finance,Accountant,Mid-Level,78616,Satisfactory
00-34941004,Andrea Williams,Male,New York,New York City,High School,4/29/1960,64,7/28/2016,Still Employee,8,Active,Operations,Inventory Specialist,Mid-Level,57716,Need Improvement
00-41568532,Mary Novak,Female,New York,New York City,Bachelor,6/12/1981,43,12/26/2019,6/23/2020,0,Terminated,Operations,Logistics Coordinator,Mid-Level,61198,Satisfactory
00-87701200,Karen Young,Male,New York,New York City,Bachelor,6/23/2001,23,6/6/2020,12/3/2020,0,Terminated,IT,IT Support Specialist,Mid-Level,58331,Excellent
00-66267415,Todd Lewis,Female,Ohio,Cincinnati,Bachelor,2/24/1966,58,6/5/2022,11/6/2024,2,Terminated,Operations,Logistics Coordinator,Mid-Level,62398,Good
00-52462441,Rachel Martin,Male,New York,New York City,Bachelor,8/25/1984,40,1/1/2024,6/29/2024,0,Terminated,Sales,Sales Consultant,Mid-Level,94930,Excellent
00-52169044,Tricia Baker,Female,New York,New York City,Bachelor,6/26/1998,26,11/1/2017,3/6/2021,3,Terminated,Customer Service,Customer Service Representative,Junior Level,59179,Good
00-96637649,Kristen Mitchell,Male,North Carolina,Greensboro,Bachelor,5/16/1976,48,9/28/2017,2/6/2024,6,Terminated,Operations,Logistics Coordinator,Mid-Level,74555,Good
00-19736572,Susan Cowan,Male,New York,New York City,PhD,10/2/1989,35,8/4/2015,Still Employee,9,Active,Sales,Sales Manager,Manager,74371,Excellent
00-23419256,Dorothy Tucker,Female,New York,New York City,Bachelor,8/17/1990,34,3/14/2016,9/10/2016,0,Terminated,Marketing,SEO Specialist,Senior,81253,Excellent
00-45594597,Kenneth Novak,Female,New York,New York City,High School,9/30/1988,36,8/13/2017,3/10/2020,2,Terminated,Customer Service,Customer Service Representative,Junior Level,56922,Need Improvement
00-42787299,Jill Brown,Female,New York,New York City,Bachelor,6/13/1982,42,5/2/2018,3/12/2020,1,Terminated,Marketing,Content Creator,Mid-Level,65108,Satisfactory
00-82909480,Brian Silva,Female,New York,New York City,Bachelor,10/31/1975,48,7/15/2022,1/11/2023,0,Terminated,Operations,Logistics Coordinator,Mid-Level,61958,Good
00-97775215,Samantha Schmidt,Female,New York,New York City,Bachelor,1/11/1999,25,1/23/2020,7/30/2022,2,Terminated,Customer Service,Support Specialist,Junior Level,55038,Good
00-84437458,Susan Miller,Female,New York,New York City,Master,2/6/2002,22,3/14/2017,4/20/2023,6,Terminated,HR,HR Coordinator,Mid-Level,63666,Excellent
00-28024248,Casey Jones,Female,New York,New York City,High School,11/9/1979,44,12/1/2017,2/11/2021,3,Terminated,Customer Service,Help Desk Technician,Junior Level,58264,Excellent
00-84252420,Joe Wilson,Male,New York,New York City,Bachelor,2/6/2003,21,12/12/2017,9/27/2022,4,Terminated,Sales,Sales Representative,Junior Level,65128,Satisfactory
00-38270233,Ashley Riley,Male,New York,New York City,Master,8/5/1967,57,1/16/2022,7/15/2022,0,Terminated,Sales,Sales Consultant,Mid-Level,69316,Excellent
00-95125977,Christine Barnes,Male,New York,New York City,High School,10/22/1992,31,8/15/2017,2/11/2018,0,Terminated,Operations,Inventory Specialist,Mid-Level,56431,Need Improvement
00-43704923,Annette Stewart,Male,New York,New York City,Bachelor,6/19/1997,27,4/12/2023,10/9/2023,0,Terminated,Sales,Sales Representative,Junior Level,79043,Good
00-95132217,James Moran,Female,New York,New York City,Bachelor,10/29/1988,35,4/3/2019,9/3/2024,5,Terminated,Marketing,Marketing Coordinator,Mid-Level,59137,Good
00-10475894,Joseph Anderson,Male,New York,New York City,Bachelor,12/23/1982,41,9/8/2018,7/16/2019,0,Terminated,IT,Software Developer,Senior,89897,Good
00-45159040,Kevin Stewart,Female,New York,New York City,Bachelor,8/31/1984,40,10/19/2017,2/2/2021,3,Terminated,IT,Software Developer,Senior,80501,Good
00-67403166,Shari Smith,Male,Michigan,Detroit,Master,4/5/1984,40,8/29/2020,2/25/2021,0,Terminated,Operations,Operations Analyst,Senior,83772,Good
00-30005727,Yolanda Ferrell,Male,New York,New York City,Master,10/5/1982,42,1/29/2020,7/27/2020,0,Terminated,Operations,Operations Analyst,Senior,55106,Excellent
00-84158663,Amanda Wagner,Male,New York,New York City,Bachelor,10/2/1987,37,2/21/2017,Still Employee,7,Active,IT,Software Developer,Senior,88492,Good
00-51373735,Sarah Ibarra,Male,New York,New York City,High School,7/28/1976,48,12/8/2018,4/25/2021,2,Terminated,Customer Service,Help Desk Technician,Junior Level,82441,Need Improvement
00-38195995,John Mitchell,Male,Michigan,Warren,Bachelor,9/27/1962,62,6/20/2022,12/17/2022,0,Terminated,Finance,Accountant,Mid-Level,85555,Good
00-57469942,Martha Warner,Female,New York,New York City,Bachelor,8/1/1989,35,8/26/2017,2/22/2018,0,Terminated,Sales,Sales Consultant,Mid-Level,64372,Satisfactory
00-30743797,Tonya Roman,Female,Michigan,Grand Rapids,Bachelor,3/15/1971,53,7/24/2018,1/20/2019,0,Terminated,Customer Service,Customer Service Representative,Junior Level,63278,Good
00-31810617,Alan Montoya,Male,Virginia,Virginia Beach,Bachelor,2/3/1998,26,4/26/2024,10/23/2024,0,Terminated,Marketing,Content Creator,Mid-Level,65358,Need Improvement
00-13326769,Sarah Garcia,Male,Michigan,Grand Rapids,Bachelor,12/3/1983,40,12/8/2017,6/6/2018,0,Terminated,IT,System Administrator,Mid-Level,77267,Good
00-65259205,Dennis Wilson,Female,New York,New York City,Bachelor,3/8/2002,22,2/11/2023,8/10/2023,0,Terminated,Sales,Sales Representative,Junior Level,51865,Good
00-43308443,Julia Moore,Male,New York,New York City,Master,9/23/1970,54,4/20/2017,12/19/2024,7,Terminated,IT,System Administrator,Mid-Level,92780,Excellent
00-61343880,Cassandra Robbins,Female,Pennsylvania,Allentown,Bachelor,5/5/1992,32,3/21/2023,9/17/2023,0,Terminated,Customer Service,Customer Service Representative,Junior Level,52588,Good
00-36786211,Grace Farrell,Female,Michigan,Detroit,Bachelor,6/23/1972,52,7/16/2023,1/12/2024,0,Terminated,Operations,Inventory Specialist,Mid-Level,64186,Good
00-50962024,Tracy Whitehead,Male,New York,New York City,High School,5/26/1978,46,11/25/2017,5/23/2018,0,Terminated,Operations,Inventory Specialist,Mid-Level,61124,Need Improvement
00-13176186,Brent Walters,Female,New York,New York City,High School,7/17/1982,42,11/19/2022,5/18/2023,0,Terminated,HR,Recruiter,Mid-Level,65797,Need Improvement
00-47393469,Joshua Smith,Female,Illinois,Aurora,Master,1/25/2001,23,10/27/2023,4/24/2024,0,Terminated,Sales,Sales Manager,Manager,114050,Good
00-96098221,David Whitney,Female,New York,New York City,High School,10/13/1975,49,3/3/2020,8/30/2020,0,Terminated,Customer Service,Help Desk Technician,Junior Level,64313,Excellent
00-81969657,Joyce Arnold,Male,Michigan,Grand Rapids,Bachelor,9/11/1989,35,6/16/2018,4/7/2022,3,Terminated,Customer Service,Support Specialist,Junior Level,63557,Satisfactory
00-45059710,Ann Rodriguez,Male,Michigan,Detroit,High School,11/29/1985,38,12/9/2017,6/12/2019,1,Terminated,Operations,Inventory Specialist,Mid-Level,59128,Need Improvement
00-24549543,Hannah Hernandez,Female,New York,New York City,High School,2/28/1989,35,1/14/2020,7/12/2020,0,Terminated,Customer Service,Support Specialist,Junior Level,54770,Need Improvement
00-52101056,Mary Aguilar,Male,New York,New York City,Bachelor,4/4/2001,23,2/27/2019,8/26/2019,0,Terminated,Customer Service,Support Specialist,Junior Level,64438,Satisfactory
00-61700055,Russell Williams,Female,New York,New York City,High School,6/19/1970,54,5/22/2023,11/18/2023,0,Terminated,HR,Recruiter,Mid-Level,58119,Need Improvement
00-15957459,Rachel Flynn,Female,North Carolina,Raleigh,High School,5/21/1976,48,12/1/2022,5/30/2023,0,Terminated,Customer Service,Help Desk Technician,Junior Level,82922,Need Improvement
00-82269803,Bill Howard,Female,New York,New York City,Bachelor,2/23/1972,52,9/22/2022,3/21/2023,0,Terminated,Marketing,Marketing Coordinator,Mid-Level,74811,Satisfactory
00-36445607,John Garcia,Male,North Carolina,Greensboro,PhD,11/22/1982,41,10/30/2018,8/25/2021,2,Terminated,Finance,Financial Analyst,Senior,93475,Excellent
00-54318698,Anita Baxter,Male,Ohio,Cleveland,High School,1/6/2002,22,8/30/2021,2/26/2022,0,Terminated,Customer Service,Customer Service Representative,Junior Level,59676,Need Improvement
00-26726926,Kara Frost,Male,New York,New York City,Bachelor,12/21/1967,56,4/2/2022,9/29/2022,0,Terminated,Sales,Sales Representative,Junior Level,77283,Need Improvement
00-51511484,Michelle Cherry,Male,New York,New York City,Bachelor,1/11/1980,44,11/11/2022,5/10/2023,0,Terminated,Marketing,Content Creator,Mid-Level,62224,Satisfactory
00-49682169,Gregory Gutierrez,Male,New York,New York City,Bachelor,2/22/1997,27,3/10/2020,9/6/2020,0,Terminated,Operations,Logistics Coordinator,Mid-Level,68683,Need Improvement
00-99245317,Jill Cook,Female,New York,New York City,High School,1/18/1967,57,12/27/2018,6/25/2019,0,Terminated,Customer Service,Customer Service Representative,Junior Level,63830,Need Improvement
00-33357554,Robert Santiago,Male,New York,New York City,Master,9/9/1998,26,10/13/2021,4/11/2022,0,Terminated,Sales,Sales Specialist,Mid-Level,75850,Excellent
00-83542887,Lisa Adams,Male,New York,New York City,High School,12/13/1995,28,11/2/2017,4/30/2018,0,Terminated,Customer Service,Help Desk Technician,Junior Level,82965,Excellent
00-38210242,Jacqueline Reyes,Female,New York,New York City,Bachelor,12/15/1973,50,1/16/2019,7/15/2019,0,Terminated,Operations,Logistics Coordinator,Mid-Level,54011,Good
00-97873101,Michele Walker,Male,New York,New York City,Bachelor,5/15/1979,45,11/14/2018,2/4/2022,3,Terminated,Sales,Sales Representative,Junior Level,80131,Good
00-38682516,Samantha Bailey,Female,New York,New York City,Bachelor,5/12/2000,24,11/14/2020,5/13/2021,0,Terminated,Operations,Inventory Specialist,Mid-Level,55778,Good
00-98429450,Laura Perez,Male,New York,New York City,PhD,10/11/1965,59,1/10/2016,10/20/2021,5,Terminated,Sales,Sales Consultant,Mid-Level,88444,Excellent
00-94951883,Donna Ross,Female,New York,New York City,Bachelor,11/6/1969,54,4/19/2021,4/27/2022,1,Terminated,Sales,Sales Representative,Junior Level,75303,Good
00-41523529,Michelle Rasmussen,Female,North Carolina,Greensboro,Master,10/23/1999,24,4/19/2022,10/16/2022,0,Terminated,IT,Software Developer,Senior,98297,Excellent
00-36726767,Michael Hicks,Male,Illinois,Chicago,Bachelor,1/14/1999,25,9/21/2017,4/1/2024,6,Terminated,Sales,Sales Representative,Junior Level,65506,Good
00-73771720,Tina Herrera,Male,New York,New York City,PhD,9/11/1991,33,1/11/2021,7/10/2021,0,Terminated,Finance,Financial Analyst,Senior,86731,Excellent
00-65625330,Darrell Waller,Male,New York,New York City,Bachelor,12/7/1973,50,3/11/2023,9/7/2023,0,Terminated,Sales,Sales Representative,Junior Level,78643,Satisfactory
00-61536717,Beverly Terrell,Female,Michigan,Warren,Bachelor,1/1/1976,48,1/15/2020,7/13/2020,0,Terminated,Customer Service,Customer Service Representative,Junior Level,64159,Good
00-98054615,Daniel Hamilton,Male,New York,New York City,Bachelor,1/12/1982,42,10/10/2022,4/8/2023,0,Terminated,Sales,Sales Representative,Junior Level,66358,Good
00-67062156,Kristin Graham,Female,Michigan,Warren,Bachelor,8/18/1982,42,7/18/2017,11/22/2021,4,Terminated,Operations,Inventory Specialist,Mid-Level,57185,Good
00-72350830,Darrell Lam,Female,New York,New York City,Bachelor,6/16/1993,31,3/14/2016,7/25/2018,2,Terminated,IT,IT Support Specialist,Mid-Level,57924,Excellent
00-26288475,Jonathan Fletcher,Female,New York,New York City,Bachelor,6/5/1971,53,1/1/2019,8/20/2024,5,Terminated,Operations,Inventory Specialist,Mid-Level,57730,Satisfactory
00-81287314,April Drake,Female,New York,New York City,High School,10/15/1975,49,9/23/2018,3/22/2019,0,Terminated,Operations,Inventory Specialist,Mid-Level,56753,Need Improvement
00-69401199,Jennifer Harmon,Male,New York,New York City,Bachelor,7/5/1975,49,9/18/2021,3/17/2022,0,Terminated,Sales,Sales Representative,Junior Level,62015,Good
00-67276174,James Reynolds,Male,New York,New York City,Bachelor,1/9/1997,27,9/15/2017,3/13/2018,0,Terminated,Operations,Operations Analyst,Senior,82241,Need Improvement
00-31361812,Samantha Hanson,Female,New York,New York City,PhD,1/24/1983,41,9/15/2022,3/14/2023,0,Terminated,Sales,Sales Consultant,Mid-Level,87980,Excellent
00-44788100,Melanie Cortez,Female,New York,New York City,Bachelor,2/21/1987,37,4/27/2022,10/24/2022,0,Terminated,Sales,Sales Representative,Junior Level,68240,Good
00-79967676,William Estrada,Male,New York,New York City,Bachelor,3/4/1985,39,5/7/2019,8/24/2020,1,Terminated,Operations,Operations Manager,Manager,109148,Good
00-69038700,Richard Phillips,Female,New York,New York City,Bachelor,10/4/2001,23,2/19/2016,Still Employee,8,Active,Operations,Operations Analyst,Senior,77304,Satisfactory
00-46468984,James Ortega,Male,New York,New York City,Bachelor,11/9/1980,43,5/28/2018,5/13/2024,5,Terminated,Sales,Sales Specialist,Mid-Level,71634,Satisfactory
00-28572252,Erica Orr,Male,New York,New York City,Bachelor,11/16/1988,35,8/28/2017,11/6/2022,5,Terminated,IT,IT Support Specialist,Mid-Level,73488,Satisfactory
00-30509175,Ashley Sullivan,Male,New York,New York City,High School,10/7/1982,42,11/20/2022,5/19/2023,0,Terminated,Operations,Inventory Specialist,Mid-Level,61678,Need Improvement
00-64707061,Aaron Mitchell,Female,New York,New York City,Bachelor,5/23/1992,32,6/16/2018,12/13/2018,0,Terminated,IT,Software Developer,Senior,94594,Satisfactory
00-18357162,Kristi Lawson,Male,Michigan,Detroit,Bachelor,2/6/1968,56,5/6/2017,Still Employee,7,Active,Operations,Inventory Specialist,Mid-Level,76197,Satisfactory
00-88393811,Steven Ramos,Female,New York,New York City,Bachelor,5/16/1995,29,3/23/2024,9/19/2024,0,Terminated,Operations,Logistics Coordinator,Mid-Level,60859,Satisfactory
